snap_id,a,z
0,0.020000,49.000000
1,0.025000,39.000000
2,0.030000,32.333333
3,0.035000,27.571429
4,0.040000,24.000000
5,0.045000,21.222222
6,0.050000,19.000000
7,0.055000,17.181818
8,0.060000,15.666667
9,0.062500,15.000000
10,0.065000,14.384615
11,0.070000,13.285714
12,0.075000,12.333333
13,0.076923,12.000000
14,0.080000,11.500000
15,0.085000,10.764706
16,0.090000,10.111111
17,0.090909,10.000000
18,0.095000,9.526316
19,0.100000,9.000000
20,0.105000,8.523810
21,0.110000,8.090909
22,0.111111,8.000000
23,0.115000,7.695652
24,0.120000,7.333333
25,0.125000,7.000000
26,0.130000,6.692308
27,0.135000,6.407407
28,0.140000,6.142857
29,0.142857,6.000000
30,0.145000,5.896552
31,0.150000,5.666667
32,0.155000,5.451613
33,0.160000,5.250000
34,0.165000,5.060606
35,0.166667,5.000000
36,0.170000,4.882353
37,0.175000,4.714286
38,0.180000,4.555556
39,0.185000,4.405405
40,0.190000,4.263158
41,0.195000,4.128205
42,0.200000,4.000000
43,0.205000,3.878049
44,0.210000,3.761905
45,0.215000,3.651163
46,0.220000,3.545455
47,0.225000,3.444444
48,0.230000,3.347826
49,0.235000,3.255319
50,0.240000,3.166667
51,0.245000,3.081633
52,0.250000,3.000000
53,0.255000,2.921569
54,0.260000,2.846154
55,0.265000,2.773585
56,0.270000,2.703704
57,0.275000,2.636364
58,0.280000,2.571429
59,0.285000,2.508772
60,0.285714,2.500000
61,0.290000,2.448276
62,0.295000,2.389831
63,0.300000,2.333333
64,0.305000,2.278689
65,0.310000,2.225806
66,0.315000,2.174603
67,0.320000,2.125000
68,0.325000,2.076923
69,0.330000,2.030303
70,0.333333,2.000000
71,0.335000,1.985075
72,0.340000,1.941176
73,0.345000,1.898551
74,0.350000,1.857143
75,0.355000,1.816901
76,0.360000,1.777778
77,0.365000,1.739726
78,0.370000,1.702703
79,0.375000,1.666667
80,0.380000,1.631579
81,0.385000,1.597403
82,0.390000,1.564103
83,0.395000,1.531646
84,0.400000,1.500000
85,0.405000,1.469136
86,0.410000,1.439024
87,0.415000,1.409639
88,0.420000,1.380952
89,0.425000,1.352941
90,0.430000,1.325581
91,0.435000,1.298851
92,0.440000,1.272727
93,0.445000,1.247191
94,0.450000,1.222222
95,0.455000,1.197802
96,0.460000,1.173913
97,0.465000,1.150538
98,0.470000,1.127660
99,0.475000,1.105263
100,0.480000,1.083333
101,0.485000,1.061856
102,0.490000,1.040816
103,0.495000,1.020202
104,0.500000,1.000000
105,0.505000,0.980198
106,0.510000,0.960784
107,0.515000,0.941748
108,0.520000,0.923077
109,0.525000,0.904762
110,0.530000,0.886792
111,0.535000,0.869159
112,0.540000,0.851852
113,0.545000,0.834862
114,0.550000,0.818182
115,0.555000,0.801802
116,0.560000,0.785714
117,0.565000,0.769912
118,0.570000,0.754386
119,0.571429,0.750000
120,0.575000,0.739130
121,0.580000,0.724138
122,0.585000,0.709402
123,0.590000,0.694915
124,0.595000,0.680672
125,0.600000,0.666667
126,0.605000,0.652893
127,0.610000,0.639344
128,0.615000,0.626016
129,0.620000,0.612903
130,0.625000,0.600000
131,0.630000,0.587302
132,0.635000,0.574803
133,0.640000,0.562500
134,0.645000,0.550388
135,0.650000,0.538462
136,0.655000,0.526718
137,0.660000,0.515152
138,0.665000,0.503759
139,0.666667,0.500000
140,0.670000,0.492537
141,0.675000,0.481481
142,0.680000,0.470588
143,0.685000,0.459854
144,0.690000,0.449275
145,0.695000,0.438849
146,0.700000,0.428571
147,0.705000,0.418440
148,0.710000,0.408451
149,0.715000,0.398601
150,0.720000,0.388889
151,0.725000,0.379310
152,0.730000,0.369863
153,0.735000,0.360544
154,0.740000,0.351351
155,0.745000,0.342282
156,0.750000,0.333333
157,0.755000,0.324503
158,0.760000,0.315789
159,0.765000,0.307190
160,0.770000,0.298701
161,0.775000,0.290323
162,0.780000,0.282051
163,0.785000,0.273885
164,0.790000,0.265823
165,0.795000,0.257862
166,0.800000,0.250000
167,0.805000,0.242236
168,0.810000,0.234568
169,0.815000,0.226994
170,0.820000,0.219512
171,0.825000,0.212121
172,0.830000,0.204819
173,0.835000,0.197605
174,0.840000,0.190476
175,0.845000,0.183432
176,0.850000,0.176471
177,0.855000,0.169591
178,0.860000,0.162791
179,0.865000,0.156069
180,0.870000,0.149425
181,0.875000,0.142857
182,0.880000,0.136364
183,0.885000,0.129944
184,0.890000,0.123596
185,0.895000,0.117318
186,0.900000,0.111111
187,0.905000,0.104972
188,0.910000,0.098901
189,0.915000,0.092896
190,0.920000,0.086957
191,0.925000,0.081081
192,0.930000,0.075269
193,0.935000,0.069519
194,0.940000,0.063830
195,0.945000,0.058201
196,0.950000,0.052632
197,0.955000,0.047120
198,0.960000,0.041667
199,0.965000,0.036269
200,0.970000,0.030928
201,0.975000,0.025641
202,0.980000,0.020408
203,0.985000,0.015228
204,0.990000,0.010101
205,0.995000,0.005025
206,1.000000,0.000000
